ID;BITMASK;NAME
0;0;Consumable
0;1;Potion
0;2;Elixir
0;3;Flask
0;4;Scroll
0;5;Food & Drink
0;6;ItemEnhancement
0;7;Bandage
0;8;Other
1;0;Bag
1;1;Soul Bag
1;2;Herb Bag
1;3;Enchanting Bag
1;4;Engineering Bag
1;5;Gem Bag
1;6;Mining Bag
1;7;Leathenvorking Bag
1;8;Inscription Bag
2;0;One-handed Axe
2;1;Two-handed Axe
2;2;Bow
2;3;Gun
2;4;One-handed Mace
2;5;Two-handed Mace
2;6;Polearm
2;7;One-handed Sword
2;8;Two-handed Sword
2;9;Obsolete
2;10;Staff
2;11;Exotic
2;12;Exotic
2;13;Fist Weapon
2;14;Miscellaneous
2;15;Dagger
2;16;Thrown
2;17;Spear
2;18;Crossbow
2;19;Wand
2;20;Fishing Pole
3;0;Red
3;1;Blue
3;2;Yellow
3;3;Purple
3;4;Green
3;5;Orange
3;6;Meta
3;7;Simple
3;8;Prismatic
4;0;Miscellaneous
4;1;Cloth
4;2;Leather
4;3;Mail
4;4;Plate
4;5;Buckler(OBSOLETE)
4;6;Shield
4;7;Libram
4;8;Idol
4;9;Totem
4;10;Sigil
5;0;Reagent
6;0;Wand(OBSOLETE)
6;1;Bolt(OBSOLETE)
6;2;Arrow
6;3;Bullet
6;4;Thrown(OBSOLETE)
7;0;Trade Goods
7;1;Parts
7;2;Explosives
7;3;Devices
7;4;Jewelcrafting
7;5;Cloth
7;6;Leather
7;7;Metal & Stone
7;8;Meat
7;9;Herb
7;10;Elemental
7;11;Other
7;12;Enchanting
7;13;Materials
7;14;Armor Enchantment
7;15;Weapon Enchantment
8;0;Generic(OBSOLETE)
9;0;Book
9;1;Leathenvorking
9;2;Tailoring
9;3;Engineering
9;4;Blacksmithing
9;5;Cooking
9;6;Alchemy
9;7;First Aid
9;8;Enchanting
9;9;Fishing
9;10;Jewelcrafting
10;0;Money(OBSOLETE)
11;0;Quiver(OBSOLETE)
11;1;Quiver(OBSOLETE)
11;2;Quiver
11;3;Ammo Pouch
12;0;Quest
13;0;Key
13;1;Lockpick
14;0;Permanent
15;0;Junk
15;1;Reagent
15;2;Pet
15;3;Holiday
15;4;Other
15;5;Mount
16;1;Warrior
16;2;Paladin
16;3;Hunter
16;4;Rogue
16;5;Priest
16;6;Death Knight
16;7;Shaman
16;8;Mage
16;9;Warlock
16;11;Druid
